Date,Open,High,Low,Close,Adj Close,Volume
2020-01-31,162500.000000,164000.000000,158500.000000,159000.000000,159000.000000,346067
2020-02-03,156000.000000,160500.000000,156000.000000,159500.000000,159500.000000,423907
2020-02-04,161500.000000,165500.000000,160500.000000,164500.000000,164500.000000,394773
2020-02-05,166500.000000,167000.000000,161500.000000,163000.000000,163000.000000,456954
2020-02-06,165500.000000,168000.000000,163500.000000,166000.000000,166000.000000,552044
2020-02-07,167000.000000,170500.000000,166000.000000,167500.000000,167500.000000,522100
2020-02-10,167500.000000,169500.000000,166000.000000,169000.000000,169000.000000,375209
2020-02-11,169000.000000,170000.000000,168000.000000,170000.000000,170000.000000,307120
2020-02-12,169500.000000,172000.000000,168000.000000,172000.000000,172000.000000,407917
2020-02-13,174500.000000,181500.000000,173500.000000,179000.000000,179000.000000,1877980
2020-02-14,181000.000000,184500.000000,179000.000000,180000.000000,180000.000000,948085
2020-02-17,180000.000000,182000.000000,179000.000000,180500.000000,180500.000000,329408
2020-02-18,180500.000000,183500.000000,179000.000000,182000.000000,182000.000000,587253
2020-02-19,184000.000000,190500.000000,183500.000000,190000.000000,190000.000000,1362998
2020-02-20,190500.000000,191500.000000,188000.000000,190500.000000,190500.000000,547405
2020-02-21,188500.000000,191500.000000,187500.000000,189500.000000,189500.000000,558497
2020-02-24,184500.000000,186000.000000,182000.000000,183500.000000,183500.000000,792733
2020-02-25,182000.000000,186000.000000,180000.000000,185500.000000,185500.000000,596763
2020-02-26,183500.000000,185500.000000,181500.000000,184000.000000,184000.000000,516378
2020-02-27,184000.000000,185500.000000,176500.000000,178500.000000,178500.000000,785062
2020-02-28,174500.000000,176500.000000,170500.000000,172000.000000,172000.000000,1022917
2020-03-02,174500.000000,176500.000000,169500.000000,175000.000000,175000.000000,793495
2020-03-03,180500.000000,181000.000000,175000.000000,175000.000000,175000.000000,629017
2020-03-04,174000.000000,181000.000000,174000.000000,179500.000000,179500.000000,709188
2020-03-05,182500.000000,183000.000000,176500.000000,179500.000000,179500.000000,821744
2020-03-06,176500.000000,178500.000000,174000.000000,175500.000000,175500.000000,568424
2020-03-09,175500.000000,175500.000000,175500.000000,175500.000000,175500.000000,0
2020-03-10,164500.000000,174500.000000,164000.000000,173000.000000,173000.000000,950875
2020-03-11,172000.000000,174500.000000,167000.000000,169000.000000,169000.000000,550227
2020-03-12,167000.000000,169000.000000,158500.000000,161000.000000,161000.000000,1218070
2020-03-13,150000.000000,161500.000000,145000.000000,159000.000000,159000.000000,1601985
2020-03-16,162000.000000,164000.000000,147500.000000,147500.000000,147500.000000,1252484
2020-03-17,141000.000000,150500.000000,140000.000000,147500.000000,147500.000000,1221046
2020-03-18,148500.000000,152000.000000,140500.000000,141000.000000,141000.000000,1107527
2020-03-19,145500.000000,147000.000000,127500.000000,134000.000000,134000.000000,2157141
2020-03-20,138000.000000,151000.000000,134500.000000,149500.000000,149500.000000,1765756
2020-03-23,138000.000000,148000.000000,137500.000000,143500.000000,143500.000000,1569378
2020-03-24,150500.000000,155000.000000,147000.000000,154500.000000,154500.000000,1271387
2020-03-25,160500.000000,162500.000000,151000.000000,154500.000000,154500.000000,1290376
2020-03-26,155000.000000,156000.000000,150000.000000,150500.000000,150500.000000,893688
