Date,Open,High,Low,Close,Adj Close,Volume
2019-11-21,51600.000000,52100.000000,50600.000000,51000.000000,51000.000000,14298646
2019-11-22,51000.000000,51600.000000,50900.000000,51600.000000,51600.000000,8478310
2019-11-25,52200.000000,52600.000000,51700.000000,51800.000000,51800.000000,9050625
2019-11-26,51900.000000,52900.000000,51800.000000,51800.000000,51800.000000,27372226
2019-11-27,51800.000000,52300.000000,51600.000000,52200.000000,52200.000000,7546261
2019-11-28,51900.000000,52100.000000,51300.000000,51300.000000,51300.000000,6833885
2019-11-29,51200.000000,51400.000000,50200.000000,50300.000000,50300.000000,11179334
2019-12-02,50900.000000,51300.000000,50400.000000,50400.000000,50400.000000,18877252
2019-12-03,49800.000000,50300.000000,49500.000000,49900.000000,49900.000000,12059812
2019-12-04,49600.000000,49850.000000,49000.000000,49450.000000,49450.000000,13246549
2019-12-05,50200.000000,50400.000000,49500.000000,49500.000000,49500.000000,10449715
2019-12-06,50100.000000,50900.000000,49950.000000,50400.000000,50400.000000,11414563
2019-12-09,50900.000000,51400.000000,50700.000000,51200.000000,51200.000000,8470627
2019-12-10,51000.000000,51600.000000,50700.000000,51500.000000,51500.000000,6882771
2019-12-11,51500.000000,52200.000000,51400.000000,51900.000000,51900.000000,11379521
2019-12-12,53000.000000,53300.000000,52700.000000,53300.000000,53300.000000,29178697
2019-12-13,54500.000000,54800.000000,53900.000000,54700.000000,54700.000000,18120261
2019-12-16,54500.000000,54900.000000,54300.000000,54700.000000,54700.000000,11512405
2019-12-17,55800.000000,56700.000000,55400.000000,56700.000000,56700.000000,19358433
2019-12-18,56700.000000,57200.000000,56000.000000,56300.000000,56300.000000,15558208
2019-12-19,57000.000000,57300.000000,55500.000000,56000.000000,56000.000000,14180520
2019-12-20,56100.000000,56500.000000,55600.000000,56000.000000,56000.000000,12095519
2019-12-23,56100.000000,56400.000000,55100.000000,55500.000000,55500.000000,9839252
2019-12-24,55600.000000,55700.000000,54800.000000,55000.000000,55000.000000,11868463
2019-12-26,54700.000000,55400.000000,54400.000000,55400.000000,55400.000000,9645034
2019-12-27,55700.000000,56900.000000,55500.000000,56500.000000,56500.000000,12313056
2019-12-30,56200.000000,56600.000000,55700.000000,55800.000000,55800.000000,8356767
2020-01-02,55500.000000,56000.000000,55000.000000,55200.000000,55200.000000,12993228
2020-01-03,56000.000000,56600.000000,54900.000000,55500.000000,55500.000000,15422255
2020-01-06,54900.000000,55600.000000,54600.000000,55500.000000,55500.000000,10278951
2020-01-07,55700.000000,56400.000000,55600.000000,55800.000000,55800.000000,10009778
2020-01-08,56200.000000,57400.000000,55900.000000,56800.000000,56800.000000,23501171
2020-01-09,58400.000000,58600.000000,57400.000000,58600.000000,58600.000000,24102579
2020-01-10,58800.000000,59700.000000,58300.000000,59500.000000,59500.000000,16000170
2020-01-13,59600.000000,60000.000000,59100.000000,60000.000000,60000.000000,11359139
2020-01-14,60400.000000,61000.000000,59900.000000,60000.000000,60000.000000,16906295
2020-01-15,59500.000000,59600.000000,58900.000000,59000.000000,59000.000000,14300928
2020-01-16,59100.000000,60700.000000,59000.000000,60700.000000,60700.000000,14381774
2020-01-17,61900.000000,62000.000000,61000.000000,61300.000000,61300.000000,16025661
2020-01-20,62000.000000,62800.000000,61700.000000,62400.000000,62400.000000,12528855
2020-01-21,62000.000000,62400.000000,61200.000000,61400.000000,61400.000000,11142693
2020-01-22,60500.000000,62600.000000,60400.000000,62300.000000,62300.000000,15339565
2020-01-23,61800.000000,61800.000000,60700.000000,60800.000000,60800.000000,14916555
2020-01-28,59400.000000,59400.000000,58300.000000,58800.000000,58800.000000,23664541
2020-01-29,59100.000000,59700.000000,58800.000000,59100.000000,59100.000000,16446102
2020-01-30,58800.000000,58800.000000,56800.000000,57200.000000,57200.000000,20821939
2020-01-31,57800.000000,58400.000000,56400.000000,56400.000000,56400.000000,19749457
2020-02-03,55500.000000,57400.000000,55200.000000,57200.000000,57200.000000,23995260
2020-02-04,57100.000000,59000.000000,56800.000000,58900.000000,58900.000000,21800192
2020-02-05,60000.000000,60200.000000,58900.000000,59500.000000,59500.000000,19278165
2020-02-06,60100.000000,61100.000000,59700.000000,61100.000000,61100.000000,14727159
2020-02-07,61100.000000,61200.000000,59700.000000,60400.000000,60400.000000,16402493
2020-02-10,59200.000000,59800.000000,59100.000000,59700.000000,59700.000000,13107121
2020-02-11,59800.000000,60700.000000,59700.000000,59900.000000,59900.000000,11071231
2020-02-12,60300.000000,60700.000000,59700.000000,60500.000000,60500.000000,12904207
2020-02-13,61200.000000,61600.000000,60500.000000,60700.000000,60700.000000,18449775
2020-02-14,60900.000000,61900.000000,60200.000000,61800.000000,61800.000000,13276067
2020-02-17,61600.000000,62000.000000,61200.000000,61500.000000,61500.000000,8740596
2020-02-18,60800.000000,60900.000000,59700.000000,59800.000000,59800.000000,16674266
2020-02-19,59800.000000,60400.000000,59400.000000,60200.000000,60200.000000,12951496
2020-02-20,60700.000000,61300.000000,59600.000000,60000.000000,60000.000000,14591924
2020-02-21,58800.000000,59800.000000,58500.000000,59200.000000,59200.000000,13777393
2020-02-24,57400.000000,58100.000000,56800.000000,56800.000000,56800.000000,25627537
2020-02-25,56200.000000,58000.000000,56200.000000,57900.000000,57900.000000,23885408
2020-02-26,56000.000000,57000.000000,56000.000000,56500.000000,56500.000000,25483102
2020-02-27,56300.000000,56900.000000,55500.000000,55900.000000,55900.000000,23209541
2020-02-28,55000.000000,55500.000000,54200.000000,54200.000000,54200.000000,30054227
2020-03-02,54300.000000,55500.000000,53600.000000,55000.000000,55000.000000,30403412
2020-03-03,56700.000000,56900.000000,55100.000000,55400.000000,55400.000000,30330295
2020-03-04,54800.000000,57600.000000,54600.000000,57400.000000,57400.000000,24765728
2020-03-05,57600.000000,58000.000000,56700.000000,57800.000000,57800.000000,21698990
2020-03-06,56500.000000,57200.000000,56200.000000,56500.000000,56500.000000,18716656
2020-03-09,56500.000000,56500.000000,56500.000000,56500.000000,56500.000000,0
2020-03-10,53800.000000,54900.000000,53700.000000,54600.000000,54600.000000,32106554
2020-03-11,54300.000000,54400.000000,52000.000000,52100.000000,52100.000000,45707281
2020-03-12,52100.000000,52100.000000,52100.000000,52100.000000,52100.000000,0
2020-03-13,47450.000000,51600.000000,46850.000000,49950.000000,49950.000000,59462933
2020-03-16,50100.000000,50900.000000,48800.000000,48900.000000,48900.000000,33339821
2020-03-17,46900.000000,49650.000000,46700.000000,47300.000000,47300.000000,51218151
2020-03-18,47750.000000,48350.000000,45600.000000,45600.000000,45600.000000,40152623
2020-03-19,46400.000000,46650.000000,42300.000000,42950.000000,42950.000000,56925513
2020-03-20,44150.000000,45500.000000,43550.000000,45400.000000,45400.000000,49730008
2020-03-23,42600.000000,43550.000000,42400.000000,42500.000000,42500.000000,41701626
2020-03-24,43850.000000,46950.000000,43050.000000,46950.000000,46950.000000,49801908
2020-03-25,48950.000000,49600.000000,47150.000000,48650.000000,48650.000000,52735922
2020-03-26,49000.000000,49300.000000,47700.000000,47800.000000,47800.000000,42185129
2020-03-27,49600.000000,49700.000000,46850.000000,48300.000000,48300.000000,39896178
2020-03-30,47050.000000,48350.000000,46550.000000,47850.000000,47850.000000,26797395
2020-03-31,48000.000000,48500.000000,47150.000000,47750.000000,47750.000000,30654261
2020-04-01,47450.000000,47900.000000,45800.000000,45800.000000,45800.000000,27259532
2020-04-02,46200.000000,46850.000000,45350.000000,46800.000000,46800.000000,21621076
2020-04-03,47400.000000,47600.000000,46550.000000,47000.000000,47000.000000,22784682
2020-04-06,47500.000000,48800.000000,47250.000000,48700.000000,48700.000000,23395726
2020-04-07,49650.000000,50200.000000,49000.000000,49600.000000,49600.000000,31524034
2020-04-08,49600.000000,49750.000000,48600.000000,48600.000000,48600.000000,25010314
2020-04-09,49750.000000,49800.000000,48700.000000,49100.000000,49100.000000,22628058
2020-04-10,48950.000000,49250.000000,48650.000000,49250.000000,49250.000000,17839111
2020-04-13,48650.000000,48900.000000,48300.000000,48300.000000,48300.000000,14431800
2020-04-14,48800.000000,49200.000000,48300.000000,49000.000000,49000.000000,14206216
2020-04-16,49350.000000,49350.000000,48550.000000,49000.000000,49000.000000,23349760
2020-04-17,50800.000000,52000.000000,50300.000000,51400.000000,51400.000000,32041675
2020-04-20,51400.000000,51400.000000,50000.000000,50100.000000,50100.000000,21866354
2020-04-21,49400.000000,49700.000000,48700.000000,49250.000000,49250.000000,27407543
2020-04-22,48700.000000,50000.000000,48350.000000,49850.000000,49850.000000,18613864
2020-04-23,50200.000000,50300.000000,49500.000000,49850.000000,49850.000000,18754442
