Date,Open,High,Low,Close,Adj Close,Volume
2019-11-21,1213000.000000,1240000.000000,1213000.000000,1233000.000000,1233000.000000,42375
2019-11-22,1250000.000000,1262000.000000,1237000.000000,1261000.000000,1261000.000000,39159
2019-11-25,1260000.000000,1274000.000000,1252000.000000,1271000.000000,1271000.000000,32800
2019-11-26,1271000.000000,1279000.000000,1259000.000000,1275000.000000,1275000.000000,62248
2019-11-27,1288000.000000,1289000.000000,1272000.000000,1276000.000000,1276000.000000,18555
2019-11-28,1276000.000000,1292000.000000,1264000.000000,1290000.000000,1290000.000000,22331
2019-11-29,1294000.000000,1304000.000000,1260000.000000,1265000.000000,1265000.000000,30107
2019-12-02,1273000.000000,1289000.000000,1249000.000000,1258000.000000,1258000.000000,25534
2019-12-03,1258000.000000,1266000.000000,1247000.000000,1266000.000000,1266000.000000,17348
2019-12-04,1242000.000000,1265000.000000,1242000.000000,1260000.000000,1260000.000000,17301
2019-12-05,1252000.000000,1267000.000000,1243000.000000,1249000.000000,1249000.000000,19348
2019-12-06,1262000.000000,1267000.000000,1255000.000000,1267000.000000,1267000.000000,16278
2019-12-09,1262000.000000,1277000.000000,1250000.000000,1267000.000000,1267000.000000,23518
2019-12-10,1268000.000000,1273000.000000,1261000.000000,1265000.000000,1265000.000000,17458
2019-12-11,1266000.000000,1266000.000000,1248000.000000,1255000.000000,1255000.000000,27959
2019-12-12,1253000.000000,1277000.000000,1251000.000000,1277000.000000,1277000.000000,45147
2019-12-13,1273000.000000,1273000.000000,1224000.000000,1246000.000000,1246000.000000,69877
2019-12-16,1250000.000000,1275000.000000,1246000.000000,1272000.000000,1272000.000000,46014
2019-12-17,1278000.000000,1282000.000000,1270000.000000,1279000.000000,1279000.000000,28672
2019-12-18,1280000.000000,1288000.000000,1265000.000000,1269000.000000,1269000.000000,23207
2019-12-19,1255000.000000,1269000.000000,1255000.000000,1266000.000000,1266000.000000,21073
2019-12-20,1271000.000000,1277000.000000,1260000.000000,1273000.000000,1273000.000000,28045
2019-12-23,1272000.000000,1273000.000000,1257000.000000,1262000.000000,1262000.000000,19108
2019-12-24,1264000.000000,1267000.000000,1256000.000000,1259000.000000,1259000.000000,13327
2019-12-26,1264000.000000,1264000.000000,1248000.000000,1257000.000000,1257000.000000,13947
2019-12-27,1250000.000000,1263000.000000,1243000.000000,1258000.000000,1258000.000000,21526
2019-12-30,1257000.000000,1265000.000000,1255000.000000,1261000.000000,1261000.000000,14787
2020-01-02,1254000.000000,1272000.000000,1249000.000000,1266000.000000,1266000.000000,24426
2020-01-03,1273000.000000,1282000.000000,1259000.000000,1263000.000000,1263000.000000,29170
2020-01-06,1252000.000000,1269000.000000,1249000.000000,1249000.000000,1249000.000000,19929
2020-01-07,1262000.000000,1347000.000000,1251000.000000,1343000.000000,1343000.000000,62787
2020-01-08,1314000.000000,1350000.000000,1313000.000000,1345000.000000,1345000.000000,43472
2020-01-09,1332000.000000,1351000.000000,1324000.000000,1324000.000000,1324000.000000,41494
2020-01-10,1316000.000000,1355000.000000,1316000.000000,1343000.000000,1343000.000000,22346
2020-01-13,1344000.000000,1425000.000000,1343000.000000,1404000.000000,1404000.000000,49449
2020-01-14,1446000.000000,1446000.000000,1402000.000000,1411000.000000,1411000.000000,47813
2020-01-15,1401000.000000,1425000.000000,1395000.000000,1422000.000000,1422000.000000,42809
2020-01-16,1420000.000000,1422000.000000,1402000.000000,1405000.000000,1405000.000000,33389
2020-01-17,1406000.000000,1423000.000000,1402000.000000,1406000.000000,1406000.000000,35291
2020-01-20,1407000.000000,1423000.000000,1377000.000000,1387000.000000,1387000.000000,45475
2020-01-21,1386000.000000,1397000.000000,1340000.000000,1343000.000000,1343000.000000,50018
2020-01-22,1355000.000000,1368000.000000,1352000.000000,1368000.000000,1368000.000000,39024
2020-01-23,1351000.000000,1364000.000000,1334000.000000,1349000.000000,1349000.000000,50508
2020-01-28,1302000.000000,1309000.000000,1252000.000000,1253000.000000,1253000.000000,98803
2020-01-29,1287000.000000,1317000.000000,1262000.000000,1296000.000000,1296000.000000,132198
2020-01-30,1294000.000000,1296000.000000,1258000.000000,1262000.000000,1262000.000000,72600
2020-01-31,1275000.000000,1278000.000000,1256000.000000,1258000.000000,1258000.000000,50358
2020-02-03,1249000.000000,1256000.000000,1230000.000000,1250000.000000,1250000.000000,47434
2020-02-04,1257000.000000,1274000.000000,1245000.000000,1269000.000000,1269000.000000,44714
2020-02-05,1271000.000000,1305000.000000,1270000.000000,1302000.000000,1302000.000000,58788
2020-02-06,1334000.000000,1358000.000000,1311000.000000,1354000.000000,1354000.000000,69729
2020-02-07,1354000.000000,1363000.000000,1337000.000000,1352000.000000,1352000.000000,58273
2020-02-10,1342000.000000,1357000.000000,1341000.000000,1356000.000000,1356000.000000,31814
2020-02-11,1382000.000000,1385000.000000,1365000.000000,1382000.000000,1382000.000000,36979
2020-02-12,1382000.000000,1399000.000000,1371000.000000,1398000.000000,1398000.000000,41677
2020-02-13,1404000.000000,1410000.000000,1394000.000000,1403000.000000,1403000.000000,42792
2020-02-14,1402000.000000,1406000.000000,1386000.000000,1389000.000000,1389000.000000,42012
2020-02-17,1389000.000000,1409000.000000,1385000.000000,1397000.000000,1397000.000000,27878
2020-02-18,1388000.000000,1403000.000000,1380000.000000,1390000.000000,1390000.000000,34561
2020-02-19,1412000.000000,1415000.000000,1390000.000000,1410000.000000,1410000.000000,26329
2020-02-20,1419000.000000,1426000.000000,1366000.000000,1372000.000000,1372000.000000,58831
